sentence_id,sentence,true_label,predicted_label_tfidf,predicted_label_embedding
30,"Stockmann and Swedish sector company AB Lindex entered into an agreement on September 30 , 2007 , whereby Stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of Lindex 's issued shares .",positive,neutral,neutral
2376,"In the next few years , the ICT sector 's share of electricity consumption will be raised by the increase in the popularity of smartphones .",neutral,neutral,positive
1319,"Both operating profit and turnover for the six-month period increased , respectively , from EUR17 .6 m and EUR1149 .9 m , as compared to the corresponding period in 2007 .",positive,positive,positive
2027,"Pioneer Library System was one of 127 libraries , municipalities , arts , culture and higher education and science organizations to have been awarded grants to participate in The Big Read , the largest federal reading program in U.S. history .",positive,neutral,neutral
5162,The deal is in line with Etteplan 's strategy to operate as a partner of global customers and provide industrial technology design services .,neutral,neutral,positive
3270,"Went long on this $COG, will see 70's again me thinks",positive,positive,positive
3418,"Earnings per share ( EPS ) amounted to EUR1 .37 , down from EUR2 .30 .",negative,negative,neutral
186,"In the building and home improvement trade , sales decreased by 22.5 % to EUR 201.4 mn .",negative,negative,negative
2476,"Estonian telecoms company Elisa 's customer numbers cross 400,000 TALLINN , Oct 22 , BNS - The Estonian telecommunications company Elisa won approximately 50,000 new clients in the nine months of this year , bringing the number to 401,800 by the end of September , the company said .",positive,neutral,positive
4725,Rimi supermarket is the key customer in Magistral center .,neutral,neutral,neutral
1567,"Argentine agricultural export company Calafate has tapped compatriot firm Finnegans for a software solution , the latter company said in a statement .",neutral,positive,positive
5640,Viking Line head Jan Kaarstroem told TT that his company 's ferries were well equipped to handle ice and that all the passengers were safe .,positive,neutral,negative
5001,"The company 's goal is to achieve annual savings of EUR 2 million ( USD 2.7 m ) , of which two thirds are to be realized in 2010 .",positive,neutral,positive
2083,"With the launch of new 3G handsets , Nokia aims to become the winner in China 's 3G market as it did in the 2G market .",positive,positive,positive
3767,The report will be emailed within 2 business days of an order .,neutral,neutral,neutral
2499,"`` After a long , unprofitable period the Food Division posted a profitable result , which speaks of a healthier cost structure and a new approach in business operations , '' Rihko said .",positive,positive,positive
424,"The company , which has EUR2 .8 bn in assets , counts among its five largest shareholders Finnish insurers Ilmarinen 4.34 % and Varma 0.70 % , as well as the Finnish state pension fund VER 0.61 % .",neutral,neutral,neutral
3691,"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .",positive,neutral,positive
3737,$SPY extreme win today - 2 cents above 2009  low on 10-year and $SPY up 2 percent - life is a bowl of cherries - great short setting up $$,negative,positive,negative
113,"LIGHTS OUT Before curfew , curl up with the latest bestseller and treat your eyes to the perfect reading light from Luceplan .",neutral,positive,negative
421,The cranes would be installed onboard two freighters ordered by Singaporean ship owner Masterbulk .,neutral,neutral,neutral
1734,"We aim to ensure that Vacon is in good shape when capital expenditure starts to pick up again , '' comments Vacon Plc President and CEO Vesa Laisi .",positive,positive,positive
1435,1 February 2011 - Finnish textile and clothing company Marimekko Oyj HEL : MMO1V said today its preliminary operating profit grew to EUR8 .2 m in 2010 from EUR6 .3 m in 2009 .,positive,positive,positive
3497,Operating profit improved by 39.9 % to EUR 18.0 mn from EUR12 .8 mn .,positive,positive,positive
4088,"`` BasWare 's product sales grew strongly in the financial period , by 24 percent .",positive,positive,positive
5399,His resignation will take effect immediately .,neutral,neutral,neutral
2756,"The original name Componenta +àm+Ñl , as a subsidiary of the Finnish Componenta Group , has been changed to +àm+Ñl Components and the company has seen a 63 % growth in Q1 2010 , in comparison to Q1 2009 .",positive,neutral,neutral
2637,4 ) Complete name of the shareholder : Otto Henrik Bernhard Nyberg 5 ) Further information : The amount of shares now transferred corresponds to 5.68 % of the total number of shares in Aspo Plc. .,neutral,neutral,neutral
4475,A quick `` one-stop-shop '' to understand the company .,neutral,neutral,neutral
2207,"On 25 August 2009 , Sampo 's stake in Nordea was 19.45 % .",neutral,neutral,positive
5589,"`` This transaction supports Huhtamaki 's strategic review of rigid plastic consumer goods operations '' , says Huhtam+ñki Oyj 's CEO Jukka Moisio .",neutral,positive,positive
613,Incap Contract Manufacturing Services Private Limited has inked agreements with six new customers in India .,positive,neutral,neutral
982,"Finnish plumbing and heating systems supplier Uponor 's net sales from continuing operations decreased by 9.4 % in 2008 to EUR 949.2 mn from EUR 1,047.4 mn in 2007 .",neutral,negative,negative
5830,"Swedish , Finnish and Danish listed companies are organized in three market cap segments , Nordic Large Cap , Mid Cap and Small Cap .",neutral,neutral,neutral
3681,$SPY Could the pride of social media be gettin ready to fall?  $FB - chart rolling over?,negative,negative,negative
4004,Finnish operator Elisa and Aker Yards have signed a long-term service deal through which Elisa will deliver all necessary voice and data services for Aker Yards in Finland .,positive,positive,positive
4035,"The company is now intensifying its smelter operations and increasing its annual production capacity to 230,000 tonnes of copper .",positive,neutral,positive
4081,The recent troubles simply make NETeller cheaper .,neutral,neutral,negative
3870,$renn topping tail 5 min. chart at 7.31 short from here.,negative,negative,positive
4036,"Nurminen Logistics provides high-quality logistics services , such as railway transports , terminal services , forwarding , special and heavy transports and medical transports .",neutral,neutral,positive
5222,"After completion of the acquisition , Poyry 's oil and gas expertise will cover multi-discipline engineering and consulting services across the complete oil and gas asset lifecycle , including deepwater engineering services .",neutral,neutral,neutral
3722,`` The new unit is a major investment in the Finnish media scene .,neutral,neutral,neutral
3469,Its other well-known brands include fitness equipment maker Precor and U.S. - based ball sports equipment maker Wilson .,neutral,neutral,neutral
468,"Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?",neutral,positive,positive
3113,"A total EUR73 .7 m will be provided as secured senior three-year debt from the syndicate , involving Pohjola Bank HEL : POH1S , the Finnish arm of Nordea Bank AB STO : NDA , and Sampo Bank HEL : SAMAS .",neutral,neutral,neutral
4851,"LCS 's services cover the whole life cycle of software and information systems , from process modelling and tailored software development , to hosting services , solution management , maintenance and support .",neutral,neutral,neutral
4154,Teleste and Sentry 360 have formed an integration partnership between Sentry s advanced 360-degree immersive camera product line and Teleste s enterprise video management systems .,positive,neutral,neutral
4203,Operating profit fell to EUR 23.26 mn from EUR 32.86 mn .,negative,negative,negative
3654,A CUT ABOVE Bring the outdoors in with these birch-branch coasters .,neutral,neutral,neutral
2226,More than a third of the original participants dropped out due to nausea and other side effects .,negative,neutral,negative
805,"The maximum amount of the capital loan will be EUR30m and the minimum subscription -- EUR10 ,000 .",neutral,neutral,neutral
4177,Nokia Messaging 1.1 enables customers to receive e-mails from up to 10 e-mail accounts on their mobile phone supporting all POP or IMAP e-mail services .,neutral,positive,neutral
3136,"`` Overall , we 're pleased with the startup curve ... and we 're pleased with the quality of the paper , '' Stora spokeswoman Patricia Dietz said Tuesday .",positive,positive,positive
2185,"European shares plunge, roiled by BHP and oil; hopes turn to ECB",negative,negative,negative
1301,The Department Store Division reported an increase in sales of 4 per cent .,positive,positive,positive
4799,Deutsche Bank Downgraded Starbucks Co. $SBUX https://t.co/QqlEvVwPMV https://t.co/f2PdQjuTHa,negative,negative,negative
4038,"Under the rental agreement , Stockmann was committed to invest in the building of a bridge over the Gogol Street or build an underground tunnel for crossing the street by 2004 .",neutral,neutral,neutral
1383,"Baird likes $TSLA - upgrades to outperform, lifts price target to $300. Research firm also sees no capital raise necessary in next few qtrs",positive,positive,positive
3702,Rolls-Royce to Ensure Compliance After Petrobras Bribery Report,neutral,positive,negative
99,"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .",neutral,neutral,negative
2029,Finnish department store group Stockmann is planning to acquire about EUR 141mn through a directed issue and a rights offering .,neutral,neutral,neutral
3880,GenVec is a biopharmaceutical company developing novel therapeutic drugs and vaccines .,neutral,neutral,neutral
4181,"EU drops Shell, BP, Statoil from ethanol benchmark investigation",positive,negative,negative
2136,"In the reporting period , EPS stood at EUR0 .07 versus EUR0 .11 .",neutral,positive,neutral
1095,"$SINA even though the ""report"" is untrue and has been proven unture, the damage is done. No one wants to touch it now",negative,neutral,negative
3822,Warren Buffett defends Berkshire Hathaway's conglomerate structure,positive,negative,neutral
4616,CompaniesMeggitt profits hit by weak energy and military markets,negative,negative,negative
4464,"Nordic banks have already had to write off sizable loans in Latvia , with Swedbank , Nordea , DnB NOR and SEB reporting combined losses in excess of $ 1.35 billion in the period 2007 to 2010 against a backdrop of near economic meltdown in Latvia .",negative,neutral,negative
3773,"The Tekla Structures product box , if needed , is now made from recycled material .",neutral,neutral,neutral
1156,"Qualcomm estimated a first-quarter profit between 46 and 50 cents a share , excluding certain items , below the analyst estimate of 61 cents a share .",neutral,negative,positive
2335,The new policy was also aimed at making the companies more profitable and competitive .,positive,positive,positive
5618,"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",positive,positive,positive
4844,The company 's board of directors will propose a dividend of EUR 0.14 for 2008 at the annual general meeting .,neutral,neutral,neutral
5488,The estimated annual value of the frame agreement is about EUR 50mn .,neutral,neutral,neutral
3543,The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,positive,positive,positive
5142,The reductions will be concluded by autumn 2010 .,neutral,neutral,negative
1072,This corrensponds to 4.628 percent of Okmetic 's share capital and voting rights .,neutral,neutral,neutral
1633,The proposed consolidation activities will impact approximately 30 positions .,neutral,neutral,neutral
3026,"GUANGDONG , October 26 , SinoCast -- Nokia Telecommunications Dongguan branch entered into a letter of intent to open a Nokia Class in Qingyuan Polytechnic , Qingyuan City of Guangdong Province .",neutral,neutral,neutral
4197,"Sampo Housing Loan Bank , a unit of Finland 's Sampo Bank , has priced its EUR1bn ( USD1 .3 bn ) bond at 99.889 % , Reuters reported .",neutral,neutral,neutral
4266,"Tesco set to sell Kipa, Giraffe businesses - Sky News",negative,neutral,neutral
1316,Aspocomp has a large factory in China and a factory building project in India that was halted due to financing problems .,neutral,positive,neutral
3987,"ALEXANDRIA , Va. , Oct. 23 -- Hans-Otto Scheck of Espoo , Finland , has developed a method of identifying remote radio units in a communication system .",neutral,neutral,neutral
1540,"Operating income was EUR -24.9 mn , including EUR 15.3 mn of restructuring expenses .",neutral,neutral,neutral
2164,"The facility will have a lettable area of some 19,000 sq m. The plot for the plant , located in the Ratasmaki business park , will be purchased from the City of Forssa .",neutral,neutral,neutral
2978,Barclays poised to replace Sir Mike Rake as he heads for exit,neutral,positive,positive
1605,$AAPL Goldman Sachs reiterates conviction buy on Apple with a $155 PT $SPY $DJIA $GS https://t.co/h5hmXSITwM,positive,positive,negative
4998,"Kalnapilio-Tauro Grupe ( Kalnapilis-Tauras Group ) , which is owned by Denmark 's Royal Unibrew , raised its market share to 25.2 percent from 23.91 percent , as beer sales for the nine months jumped by 11.4 percent to 52.99 million liters .",positive,positive,positive
236,The combined company had pro-forma net sales of 140 mln euro $ 188.9 mln and an operating profit of 13 mln euro $ 17.5 mln for 2006 .,neutral,neutral,positive
1689,"As a result of the merger , the largest professional electronics and telecommunications technology contract manufacturing center in Finland will be formed in Sievi .",neutral,neutral,neutral
4232,Rapala VMC Corporation ( Rapala ) is a Finland-based company engaged in the manufacture and distribution of fishing equipment and accessories .,neutral,neutral,neutral
3019,"Irish Said Chasing Standard Chartered, RBS as Brexit Vote Nears",positive,negative,negative
3125,"The shopping center to be opened in St. Petersburg , Russia in November 2010 will turn the cash flow of Finnish department store chain Stockmann 's Russian operations positive for the first time in 2011 .",positive,neutral,negative
5109,"In 2007 , Huhtamaki will continue to invest in organic growth .",neutral,positive,positive
4185,The aim is to achieve EUR 2.5 mn yearly savings .,positive,positive,positive
907,Niklas Skogster has been employed by the ABB Group in various positions concerning the development of operations .,neutral,neutral,neutral
1190,"The inventors are Bylander Johan , Ponten Fredrik and Lundberg Jorgen .",neutral,neutral,neutral
3415,The groups 's turnover for the full fiscal year is expected to show a slight increase from the previous fiscal year .,positive,positive,positive
1944,"Of the sales price , a sales gain of some 3.1 mln euro ( $ 4.5 mln ) will be recognized in Incap 's earnings for 2007 .",positive,neutral,positive
3598,Production is scheduled to start by the end of April 2007 .,neutral,neutral,neutral
2721,The phones are targeted at first time users in growth markets .,neutral,neutral,neutral
2274,Small investors have voiced fears that the shares will end up with risk investors .,neutral,positive,negative
4468,"Operating result , excluding one-off items , totaled EUR 9.1 mn compared to EUR 10.6 mn in continuing operations , excluding one-off items in 2004 .",negative,negative,positive
3301,"Following the issue , the number of shares in the Swedish company will grow by 9 % .",neutral,neutral,neutral
1629,"`` This vessel order will help Aspo secure the long-term competitiveness of its fleet , both in terms of technology and pricing .",positive,positive,positive
680,"The one dark spot on the horizon , however , was the company 's performance in the Finnish bottled water market .",neutral,neutral,neutral
5049,"Profit after taxes for the period was up to EUR0 .9 m , from EUR0 .01 m last year .",positive,positive,positive
549,"@HopeTurock yes, the expectations of a deal are somewhat priced in but we could see a nice pop if bids come in higher than expected... $YHOO",positive,positive,positive
1668,Operating profit fell from EUR 7.9 mn in the second quarter of 2005 to EUR 5.1 mn in the second quarter of 2006 .,negative,positive,negative
3100,"efficiency improvement measures 20 January 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said today that it will continue to improve its operational efficiency , by focusing on its profitable core operations .",positive,positive,positive
1695,Net profit in the same period in 2006 was 36.6 million euros .,neutral,positive,neutral
2059,"CapMan 's first real estate fund , which had a total investment capacity of ( EURO ) 500 million and closed in June 2005 , invested in commercial properties in the Helsinki metropolitan area .",neutral,neutral,neutral
1083,Earnings per share EPS amounted to EUR0 .01 .,neutral,neutral,neutral
2793,"F-Secure Internet Security 2010 is a security service for surfing the web , online banking and shopping , e-mail , and other online activities .",neutral,neutral,neutral
3596,"Aldata Solution Oyj Thomas Hoyer CFO More information : Aldata Solution Oyj , Thomas Hoyer , CFO , tel. +358 45 670 0491 Aldata in brief Aldata Solution is one of the global leaders in supply chain software for retail , wholesale and logistics companies .",neutral,neutral,neutral
769,"FTSE rallies off three-month low, boosted by StanChart, Sainsbury",positive,negative,negative
4751,No blind-spots coming from 1 vantage point allows investigators to see the whole story in high resolution with no unbroken video .,neutral,neutral,neutral
2361,"ADP News - Nov 6 , 2008 - Finnish retail software developer Aldata Solution Oyj OMX : ALD1V said today that it swung to a net profit of EUR 2.1 million USD 2.7 m for the first nine months of 2008 versus a net loss of EU",positive,positive,positive
5557,"The Nokian tyre proves its high safety excellently in the important driving qualities stability with mark 1.4 , handling 1.5 and braking on wet road with 1.9 .",positive,positive,positive
5722,Operating profit rose to EUR 27.8 mn from EUR 17.5 mn in 2008 .,positive,positive,positive
1465,"Frost sold shares for $ 19 million at $ 6.06-7 .12 per share , compared with Friday 's high of $ 11.33 and low of $ 10.14 .",neutral,neutral,negative
1286,"The order comprises all production lines for a plywood mill , company said in a statement received by Lesprom Network .",neutral,neutral,neutral
2656,"In 2007 , the Group 's net sales stood at EUR 42 million and it had about 1,445 employees .",neutral,neutral,neutral
1932,"`` Uncommonly weak snow conditions in nearly every market have affected our first quarter result , '' Chief Executive Roger Talermo said .",negative,negative,negative
5497,"Today , we are connecting people in new and different ways - fusing advanced mobile technology with personalized services to enable people to stay close to what matters to them .",neutral,positive,positive
5283,"`` We have a license agreement with Nokia Corp. which in part expires on April 9 , 2007 .",neutral,positive,neutral
1728,Incap Furniture is presently negotiating staff cuts .,neutral,neutral,neutral
3908,Net investment income,neutral,positive,neutral
3679,"Mobile phone shipments jumped 26 percent to almost 112 million units , while Finnish company 's global market share rose to 39 percent from 36 percent .",positive,positive,positive
2025,AB InBev offers SABMiller $3 billion breakup fee,positive,positive,positive
5681,"Finnish Suominen Corporation that specialises in wet wipes , nonwovens , and flexible packaging reports net sales of EUR 44.1 mn in the second quarter of 2010 , up from EUR 43.3 mn in the second quarter of 2009 .",positive,positive,neutral
592,Sponda plans to renovate old real estate and develop new property .,neutral,positive,neutral
620,The company negotiated an amendment to the financial covenants of the present credit agreements in regard to the situation on 30 September 2010 .,neutral,neutral,neutral
1277,"As a result , the company has decided it will implement fixed-term temporary lay-offs .",neutral,negative,neutral
5802,"Reuters: Green Mountain revenue misses, shares plunge http://stks.co/13mW > $GMCR prints 43.80, market in a foul mood, bad day to disappoint",negative,positive,negative
1063,"( ADP News ) - Sep 30 , 2008 - Finnish security and privacy software solutions developer Stonesoft Oyj said today that it won a USD 1.9 million ( EUR 1.3 m ) order to deliver its StoneGate network security products to an unnamed Russian te",positive,positive,positive
4298,Comptel Corporation will publish its financial statements for 2008 on 12 February 2009 .,neutral,neutral,neutral
4418,The offer represents a premium of 24 % over the stock 's closing price on Friday .,positive,neutral,neutral
5514,The turbines are expected to be launched by the end of 2012 .,neutral,neutral,neutral
5177,New product launches in Finland will more than double from 2005 .,positive,positive,positive
2097,"In addition to supplying a new headbox and a modern sizing and coating unit , Vaahto Group will provide erection supervision , training and start-up services .",neutral,positive,neutral
3266,"UPDATE 1-SABMiller 2nd-quarter underlying sales rise, forex impacts margins",neutral,positive,positive
426,@chessNwine: $IWM 30-Minute Chart. Small caps threatening descending triangle breakdown under $110.20.  http://stks.co/r0KKm,negative,positive,negative
125,The operating margin of Aker Yards Cruise & Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 .,negative,neutral,negative
1969,"Cablevision Systems Corp. CVC Their Madison Square Garden division owns and operates the New York Knickerbockers basketball team ; they also own the Madison Square Garden Arena , the New York Rangers hockey team , the New York Liberty women 's basketball team , and the Hartford Wolf Pack hockey team .",neutral,neutral,neutral
1098,CompaniesTesco off to a bad start over Xmas â€“ Kantar,negative,negative,negative
3921,This combined with foreign investments creates interesting opportunities for Solteq .,positive,positive,positive
831,The measures result from weak demand in the shipbuilding industry .,negative,positive,negative
2324,"The competition was received with great enthusiasm by the employees , he goes on .",positive,neutral,positive
2832,"When dialing in , the participants should quote 877417 as conference ID .",neutral,neutral,neutral
3967,$GPS Gap September Comparable Store Sales -4%,negative,negative,negative
5140,The rationalization of the operations seeks to achieve over EUR 1 million in yearly savings as from the second quarter of the current financial year .,positive,neutral,positive
5457,"narrows to EUR2 .8 m 9-mo '09 29 October 2009 - Finnish software and hardware developer Elektrobit Oyj HEL : EBG1V , or EB , said today that its net loss narrowed to EUR2 .8 m for the first nine months of 2009 from EUR35 .6 m for the same period a year ago .",positive,positive,negative
4216,"Fortum needs a clear signal of commitment from the Government that the permit is available before the company will start the next round , Kuula says .",neutral,neutral,neutral
1376,"FDA approves NPS drug, in move validating Shire takeover deal",positive,positive,positive
2588,"Together with Latvia , Cramo will operate 54 rental outlets in the Baltic States .",neutral,neutral,neutral
2273,"The Stena Poseidon is a so-called Panamax tanker , designed to be able to pass through the narrow passages in the Panama Canal 's locks .",neutral,neutral,neutral
4915,Tesco share price closes higher as two more directors leave grocer,positive,negative,negative
5380,"Also , it is bringing in `` the right kind of people '' to upgrade its human resources .",positive,neutral,neutral
951,EPS dropped to EUR0 .2 from EUR0 .3 .,negative,positive,negative
4910,"The financial impact is estimated to be some 1.5 MEUR annual improvement in the division 's result , starting from fiscal year 2007 .",positive,positive,positive
1839,Her present position is the director of Stockmann 's international department stores .,neutral,neutral,neutral
3306,"Profit per share was EUR 1.03 , up from EUR 0.87 .",positive,positive,positive
4717,"Honkarakenne also decided yesterday to sell 88,500 of its B-series shares to key staff members for EUR 2.90 per share .",neutral,neutral,positive
3206,"According to business media reports , Usmanov planned to transfer his MegaFon stake to the state-controlled Svyazinvest , in exchange for a stake in the merged RosTelecom .",neutral,neutral,neutral
2534,"The Vaisala Group is a successful international technology company that develops , manufactures and markets electronic measurement systems and products .",positive,neutral,neutral
0,"The GeoSolutions technology will leverage Benefon 's GPS solutions by providing Location Based Search Technology , a Communities Platform , location relevant multimedia content and a new and powerful commercial model .",positive,neutral,neutral
2737,Marimekko is considering further measures in the matter .,neutral,neutral,neutral
5165,"The divested company is part of TietoEnator 's business area Government , Manufacturing & Retail .",neutral,neutral,neutral
4596,"The major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004 .",positive,positive,positive
883,Its total annual revenue comes up to about 160 mln zloty ( $ 56.9 mln-42 .3 mln euro ) .,neutral,positive,positive
3808,"The expanded agreement covers the sale , marketing and distribution of Benefon 's navigation and locator devices in China .",neutral,neutral,positive
3760,The real estate company posted a net loss of +ó  x201a -¼ 59.3 million +ó  x201a -¼ 0.21 per share compared with a net profit of +ó  x201a -¼ 31 million +ó  x201a -¼ 0.11 per share for the corresponding quarter of 2007 .,neutral,neutral,negative
5195,"It expects revenue between $ 8.4 billion and $ 8.7 billion , compared to analyst estimates of $ 8.67 billion .",neutral,positive,neutral
5213,$TSLA yeah lets go down to 230s lol,negative,negative,negative
4695,Aspo 's Group structure and business operations are continually developed without any predefined schedules .,neutral,neutral,neutral
1678,"So far Norwegian Norske Skog has reduced the staff levels by 1,000 people and plans to reduce production by 200,000 tons in 2008 , while Finnish-Swedish Stora Enso is to cut staff by 1,700 people and production by 500,000 tons .",negative,neutral,negative
4062,BasWare Order Matching automatically matches purchase invoices with approved purchase orders .,neutral,positive,positive
4006,Strong growth has continued also in China .,positive,positive,positive
3746,10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,positive,positive,positive
1218,You will hear the latest insights and updates on Citycon 's strategy as well as the latest news from all the business units .,neutral,neutral,positive
5659,"The business is organised , as of February 1 , 2011 , in a way that production of design services is combined into one entity , Etteplan Operations .",neutral,neutral,neutral
1191,"The inventors are Mukkavilli Krishna Kiran , Sabharwal Ashutosh and Aazhang Behnaam .",neutral,neutral,neutral
3312,"Finnish shipping company Finnlines , of the Grimaldi Group , reports its net sales decreased to EUR 241.8 mn in January-June 2009 from EUR 384.0 mn in the corresponding period in 2008 .",negative,negative,negative
2901,"Revenue in July to September grew 14 percent to ( EURO ) 467 million from a year earlier , the company said Thursday .",positive,positive,positive
201,"Antti Orkola , president of Kemira GrowHow 's Industrial Solutions unit , told Thomson Financial News the company has put off opening the mine as prices of phosphate have been ` quite depressed for a long time ' . '",neutral,neutral,negative
3320,"Previously , the company had guided for EBIT and sales growth of 20 pct and 10 pct respectively for this year .",positive,positive,positive
5368,"F-Secure , a developer of security solutions as a service through Internet Service Providers and mobile operators , announced results from its annual Online Wellbeing Survey .",neutral,neutral,positive
4409,"The study is expected to provide proof of pharmacodynamic activity in humans , corroborate the safety profile and establish dose ranges for further therapeutic studies .",neutral,neutral,neutral
3234,"As a part of the plan , the Board of Directors decided to transfer a maximum of 330,000 shares held by the company in a share issue against payment directed to Aspo Management Oy , a holding company acquired by the management .",neutral,neutral,neutral
2462,The company will release its 2010 results on 11 February 2011 .,neutral,neutral,neutral
691,"Furthermore , our fully electrically driven cranes are environmentally friendly .",positive,positive,positive
4477,Johnson Matthey profit falls but dividend rises,neutral,negative,negative
2733,The proposal of the shareholders to elect Mr. Hannu Krogerus to the Board is based on his long and unrivalled experience and knowledge of all matters related to Elcoteq .,neutral,neutral,neutral
1813,"After buying Eukor Car Carriers 50 percent stake , Grimaldi Group is now the sole owner of the Swedish roll-on , roll-off port of Wallhamn .",neutral,neutral,neutral
5303,Dixons Carphone profit boost on strong sales,positive,positive,positive
1460,All Amer Sports companies develop and manufacture technically advanced products that improve the performance of active sports participants .,neutral,positive,positive
485,"After the split , the company would have 26,885,540 Series A shares and 9,540,000 Series K shares .",neutral,neutral,neutral
5015,"Qualcomm: 10% Dividend Increase Rewards Patient Investors, The Future Looks Bright https://t.co/TJjVpqhHqD $QCOM",positive,positive,positive
1298,"$TSLA recalls 2,700 Model X cars. Stock dropping hard...",negative,negative,negative
5455,"Igor and Oleg Yankov , who currently manage Moron and Vitim , will hold onto the 25 % stake for now .",neutral,neutral,neutral
1195,Diluted EPS rose to EUR3 .68 from EUR0 .50 .,positive,positive,positive
2814,"On the basis of competitive bidding OOO Kitai Stroi , the Russian subsidiary of China State Construction Engineering Corporation , a construction company owned by China State , has been selected as the main constructor .",neutral,neutral,neutral
1323,"128,538 shares can still be subscribed for with Series E share options , max .",neutral,neutral,neutral
2985,$MTD (Mettler-Toledo) ready for a breakout,positive,positive,positive
1733,Satama earned Data Management Solutions competency with Business Intelligence specialization recentlyvia the acquisition of Fimentor Oy .,positive,neutral,neutral
2138,"Finnish shipping company Finnlines ' pretax loss totalled EUR 6.5 mn in the third quarter of 2009 , compared to a profit of EUR 0.3 mn in the third quarter of 2008 .",neutral,negative,negative
481,"GlaxoSmithKline targets growth across units, scraps ViiV IPO",positive,positive,positive
1017,"On preliminary estimate , the hotel will operate under the brand Novotel .",neutral,neutral,neutral
2524,"These sections will be put into place to form the load-bearing steel structure of the bridge , '' says Sami Eronen , Senior Vice President , Infrastructure and Northern Europe , Ruukki Construction .",neutral,neutral,neutral
2187,"During the rally , which was authorized by the city administration , a consulate official came out to the workers , spoke to them and took a letter from them .",neutral,neutral,neutral
2275,"The contract also includes installation work in a new multistorey carpark for close on 1,000 vehicles .",neutral,neutral,neutral
2393,The measures taken will cause one-time costs during the final part of 2006 .,neutral,neutral,neutral
3595,Name of Company in which holdings have been acquired : Citycon Oyj 2 .,neutral,neutral,neutral
1814,"Destia Oy is a Finnish infrastructure and construction service company building , maintaining and designing traffic routes , industrial and traffic environments , but also complete living environments .",neutral,neutral,neutral
999,Our tools are specifically designed with the needs of both the business users and ICT experts in mind .,neutral,neutral,neutral
2857,$SPY bull move ended waiting for next setup,negative,positive,negative
1234,$SPY  still wants higher I think.,positive,negative,positive
3231,Our superior customer centricity and expertise in digital services set us apart from our competitors .,positive,positive,neutral
2798,"Profitability ( EBIT % ) was 13.6 % , compared to 14.3 % in Q2 2009 .",neutral,positive,positive
4267,A PLUMBING business has announced it is sponsoring a professional darts player .,neutral,neutral,neutral
5570,"Last year , 8.3 million passengers flew the airline , down 4 percent from 2007 .",neutral,negative,negative
5366,"Operating profit totalled EUR 0.4 mn , up from an operating loss of EUR 0.8 mn year-on-year .",positive,positive,negative
1209,"Based in Helsinki , Finland , Ramirent has branches in 13 Nordic , central and Eastern European countries .",neutral,neutral,neutral
378,"Simmons Elected DCUC Chairman PORTSMOUTH , N.H.-Gordon A. Simmons , CEO of Service Credit Union , has been elected chairman of the Defense Credit Union Council for the 2007-2008 term .",neutral,neutral,neutral
2379,"Body ES Vostok also owns stakes in power sales companies MosenergosbytBody ( RTS : MSSB ) ( 50.9 % ) , Altaienergosbyt ( 100 % ) , Saratovenergo ( RTS : SARE ) Body ( 48.36 % ) and Tambov Power Sales Company ( RTS : TASB ) ( 49.01 % ) , all ofBodywhich it received from the distribution balance .",neutral,positive,neutral
1201,CompaniesAB InBev signals it won't go hostile for SABMiller,positive,positive,negative
3923,Operating profit rose from EUR 1.94 mn to EUR 2.45 mn .,positive,positive,positive
5353,"Paper company M-real calculated that if 100,000 biscuit cartons are made using a 25gsm lighter board , the CO2 saved over the course of 12 months would be equal to that generated by driving 1,000 km by car .",neutral,neutral,positive
5619,The second-quarter net sales are expected to be on par with the first quarter of 2009 .,neutral,positive,positive
1805,Risk exposure by Non-life Insurance  Moving 12-month  Expenses by function in Non-life Insurance excluding expenses for investment management and expenses for other services rendered Non-life Insurance investment portfolio by allocation,neutral,positive,neutral
2062,"The tanks will be delivered to a company which is currently building a chemical tank farm in Antwerp , northern Belgium .",neutral,neutral,neutral
2820,Closing of such transaction took place today .,neutral,neutral,negative
985,"The casing comprises a first side casing member provided with the first side vat segment and a second side casing member provided with the second side vat segment , at least the first side casing member being pivotable about a rotation axis .",neutral,neutral,neutral
2414,Sales of security and system packaging increased slightly .,positive,positive,positive
1755,The original patent was filed in Finland under application No. .,neutral,neutral,neutral
